dataset_id,model,mitigation,female_n,female_n_septic,female_prevalence,female_tpr,female_fpr,female_precision,female_f1,female_auroc,female_avg_precision,female_brier,female_ece,female_clinical_utility,female_physionet_utility,female_pct_detected_at_all,female_pct_missed,female_pct_in_optimal_window,female_alarm_fatigue_rate,male_n,male_n_septic,male_prevalence,male_tpr,male_fpr,male_precision,male_f1,male_auroc,male_avg_precision,male_brier,male_ece,male_clinical_utility,male_physionet_utility,male_pct_detected_at_all,male_pct_missed,male_pct_in_optimal_window,male_alarm_fatigue_rate,overall_n,overall_n_septic,overall_prevalence,overall_tpr,overall_fpr,overall_precision,overall_f1,overall_auroc,overall_avg_precision,overall_brier,overall_ece,overall_clinical_utility,overall_physionet_utility,overall_pct_detected_at_all,overall_pct_missed,overall_pct_in_optimal_window,overall_alarm_fatigue_rate,tpr_gap,fpr_gap,auroc_gap,precision_gap,f1_gap,brier_gap,ece_gap,clinical_utility_gap,physionet_utility_gap,pct_detected_at_all_gap,pct_missed_gap,pct_in_optimal_window_gap,alarm_fatigue_rate_gap,ppv_gap,demographic_parity_diff,equal_opportunity_diff,sufficiency_diff,disparate_impact,equal_opportunity,equal_opportunity_abs,fl_demographic_parity_diff,fl_equal_opportunity_diff,missed_rate_gap,optimal_window_gap,alarm_fatigue_gap,worst_group_auroc,auroc_drop_from_overall,illusion_of_fairness,utility_threshold,train_utility_at_threshold,n_train_rows,n_test_rows,n_train_patients,n_test_patients,train_prevalence,test_prevalence
D0,liu_glm,none,265,2,0.1169811320754717,1.0,0.6367521367521367,0.17222222222222222,0.2938388625592417,0.6392335263303005,0.14702163626350462,0.3283636692354474,0.4019147971586804,0.08886792452830189,0.7742424242424243,100.0,0.0,0.0,0.6146788990825688,324,1,0.04938271604938271,1.0,0.6558441558441559,0.07339449541284404,0.13675213675213677,0.8607954545454545,0.15599036499561647,0.21075929687295983,0.36826810503225066,0.018209876543209873,0.4228571428571429,100.0,0.0,0.0,0.6632302405498282,589,3,0.07979626485568761,1.0,0.6476014760147601,0.11809045226130653,0.21123595505617979,0.7540629661615765,0.14028887327043732,0.26367128104283966,0.38340626023344576,0.049999999999999996,0.6524752475247525,100.0,0.0,0.0,0.6424361493123772,0.0,-0.019092019092019186,-0.22156192821515397,0.09882772680937818,0.15708672580710492,0.11760437236248758,0.033646692126429734,0.07065804798509201,0.3513852813852814,0.0,0.0,0.0,-0.04855134146725937,0.09882772680937818,0.006405776846028388,0.0,0.09882772680937818,1.009520512376666,0.0,0.0,0.006405776846028388,0.0,0.0,0.0,-0.04855134146725937,0.6392335263303005,0.11482943983127603,0,0.3,,2391,589,68,18,0.054788791300711,0.07979626485568761
D0,liu_xgboost,none,265,2,0.1169811320754717,0.0,0.1581196581196581,0.0,0.0,0.48180314309346567,0.10864691170094919,0.1588517725467682,0.18687698897325772,-0.2409433962264151,-0.056060606060606,0.0,100.0,,0.16972477064220184,324,1,0.04938271604938271,0.0,0.003246753246753247,0.0,0.0,0.7633928571428572,0.09683765440047744,0.05054884031414986,0.04738928516751822,-0.09891975308641975,-0.002857142857142898,0.0,100.0,,0.003436426116838488,589,3,0.07979626485568761,0.0,0.07011070110701106,0.0,0.0,0.615137002433854,0.09373196678887552,0.09927597641944885,0.1101469109135289,-0.16281833616298813,-0.037623762376237595,0.0,100.0,,0.07465618860510806,0.0,0.15487290487290487,-0.28158971404939154,0.0,0.0,0.10830293223261833,0.1394877038057395,-0.14202364313999538,-0.0532034632034631,0.0,0.0,,0.16628834452536337,0.0,0.13653622175634755,0.0,0.0,45.237735849056605,0.0,0.0,0.13653622175634755,0.0,0.0,,0.16628834452536337,0.48180314309346567,0.13333385934038838,0,0.3,,2391,589,68,18,0.054788791300711,0.07979626485568761
D0,liu_rnn,none,265,2,0.1169811320754717,0.0,0.3418803418803419,0.0,0.0,0.29500964984835953,0.08176781255368198,0.3770172225730597,0.39592672827544306,-0.2490566037735849,-0.12121212121212122,0.0,100.0,,0.3669724770642202,324,1,0.04938271604938271,0.0,0.1461038961038961,0.0,0.0,0.7465503246753248,0.09229970827699696,0.16418912745638348,0.17425350679754226,-0.10570987654320987,-0.12857142857142856,0.0,100.0,,0.15463917525773196,589,3,0.07979626485568761,0.0,0.23062730627306274,0.0,0.0,0.437347884117139,0.06694080962772428,0.25994370335777434,0.273987638701861,-0.1702037351443124,-0.12376237623762362,0.0,100.0,,0.2455795677799607,0.0,0.1957764457764458,-0.45154067482696525,0.0,0.0,0.21282809511667622,0.2216732214779008,-0.14334672723037503,0.007359307359307343,0.0,0.0,,0.21233330180648824,0.0,0.16299790356394128,0.0,0.0,2.1735849056603773,0.0,0.0,0.16299790356394128,0.0,0.0,,0.21233330180648824,0.29500964984835953,0.14233823426877945,0,0.3,,2391,589,68,18,0.054788791300711,0.07979626485568761
D1A,liu_glm,none,144,1,0.1111111111111111,1.0,0.71875,0.14814814814814814,0.25806451612903225,0.39453125,0.09529162830557397,0.34944904889780853,0.4574094541645999,0.07916666666666666,0.7371428571428571,100.0,0.0,0.0,0.712,385,2,0.08051948051948052,1.0,0.7740112994350282,0.10163934426229508,0.18452380952380953,0.578731547293603,0.09198515725112653,0.3590608056340991,0.4809578947056491,0.044935064935064925,0.5848484848484848,100.0,0.0,0.0,0.6772727272727272,529,3,0.0888468809073724,1.0,0.7593360995850622,0.11380145278450363,0.20434782608695654,0.5250286925046349,0.0881650235936616,0.3564443727985115,0.45789419201426423,0.054253308128544425,0.6376237623762376,100.0,0.0,0.0,0.6898550724637681,0.0,-0.05526129943502822,-0.184200297293603,0.04650880388585306,0.07354070660522272,-0.009611756736290555,-0.02354844054104921,0.03423160173160174,0.15229437229437226,0.0,0.0,0.0,0.03472727272727272,0.04650880388585306,-0.04220779220779225,0.0,0.04650880388585306,0.9467213114754098,0.0,0.0,0.04220779220779225,0.0,0.0,0.0,0.03472727272727272,0.39453125,0.1304974425046349,0,0.3,,1864,529,54,14,0.07027896995708155,0.0888468809073724
D1A,liu_xgboost,none,144,1,0.1111111111111111,0.0,0.3203125,0.0,0.0,0.3564453125,0.08710663571656299,0.22280795872211456,0.2882778137508366,-0.23645833333333333,-0.11714285714285708,0.0,100.0,,0.328,385,2,0.08051948051948052,0.7096774193548387,0.3983050847457627,0.13496932515337423,0.2268041237113402,0.6537269910698014,0.10439494901671738,0.21749506890773773,0.24216241997412663,-0.007922077922077924,0.4412457912457912,100.0,0.0,0.0,0.12272727272727273,529,3,0.0888468809073724,0.46808510638297873,0.3775933609958506,0.10784313725490197,0.1752988047808765,0.5963626732585857,0.09900218166051941,0.2189413160085678,0.24487409846318467,-0.07013232514177695,0.24774477447744778,66.66666666666666,33.33333333333333,0.0,0.19710144927536233,-0.7096774193548387,-0.0779925847457627,-0.29728167856980137,-0.13496932515337423,-0.2268041237113402,0.005312889814376831,0.04611539377670998,-0.2285362554112554,-0.5583886483886483,-100.0,100.0,,0.20527272727272727,-0.13496932515337423,-0.13865440115440114,0.7096774193548387,0.13496932515337423,0.6725034083162917,-0.7096774193548387,0.7096774193548387,0.13865440115440114,0.7096774193548387,100.0,,0.20527272727272727,0.3564453125,0.23991736075858572,0,0.3,,1864,529,54,14,0.07027896995708155,0.0888468809073724
D1A,liu_rnn,none,144,1,0.1111111111111111,0.0,0.53125,0.0,0.0,0.06787109375,0.06378106437410916,0.44974130576767263,0.49663577656873603,-0.24583333333333332,-0.1942857142857143,0.0,100.0,,0.544,385,2,0.08051948051948052,0.25806451612903225,0.3728813559322034,0.05714285714285714,0.0935672514619883,0.5823765263349735,0.09156838136029706,0.3713045410411777,0.36781079507530773,-0.11584415584415585,0.012121212121212185,100.0,0.0,0.0,0.17272727272727273,529,3,0.0888468809073724,0.1702127659574468,0.4149377593360996,0.038461538461538464,0.06274509803921569,0.3781672110885495,0.06931372417194175,0.39265594769640505,0.3941680829494236,-0.15122873345935728,-0.05940594059405948,66.66666666666666,33.33333333333333,0.0,0.3072463768115942,-0.25806451612903225,0.1583686440677966,-0.5145054325849735,-0.05714285714285714,-0.0935672514619883,0.07843676472649491,0.1288249814934283,-0.1299891774891775,-0.20640692640692648,-100.0,100.0,,0.3712727272727273,-0.05714285714285714,0.10858585858585856,0.25806451612903225,0.05714285714285714,1.298611111111111,-0.25806451612903225,0.25806451612903225,0.10858585858585856,0.25806451612903225,100.0,,0.3712727272727273,0.06787109375,0.3102961173385495,0,0.3,,1864,529,54,14,0.07027896995708155,0.0888468809073724
D2A,liu_glm,none,265,2,0.1169811320754717,1.0,0.6239316239316239,0.1751412429378531,0.2980769230769231,0.637854976564654,0.146573437992537,0.3291656760870251,0.4030480254669966,0.08943396226415094,0.7787878787878788,100.0,0.0,0.0,0.6009174311926605,324,1,0.04938271604938271,1.0,0.6590909090909091,0.0730593607305936,0.13617021276595745,0.8614042207792207,0.15648597075735574,0.21037275573813918,0.36790770348007906,0.018055555555555554,0.42,100.0,0.0,0.0,0.6666666666666666,589,3,0.07979626485568761,1.0,0.6439114391143912,0.11868686868686869,0.21218961625282168,0.7535526419093979,0.1399789710178441,0.26381948560648344,0.38371786532478735,0.050169779286926994,0.6544554455445544,100.0,0.0,0.0,0.6385068762278978,0.0,-0.035159285159285125,-0.2235492442145668,0.1020818822072595,0.16190671031096562,0.11879292034888594,0.03514032198691752,0.07137840670859538,0.3587878787878788,0.0,0.0,0.0,-0.06574923547400613,0.1020818822072595,-0.008001397624039175,0.0,0.1020818822072595,0.9881623158438873,0.0,0.0,0.008001397624039175,0.0,0.0,0.0,-0.06574923547400613,0.637854976564654,0.1156976653447439,0,0.3,,2391,589,68,18,0.054788791300711,0.07979626485568761
D2A,liu_xgboost,none,265,2,0.1169811320754717,0.0,0.1581196581196581,0.0,0.0,0.4831816928591122,0.10875534193163193,0.1632017344236374,0.19147033187437731,-0.2409433962264151,-0.056060606060606,0.0,100.0,,0.16972477064220184,324,1,0.04938271604938271,0.0,0.003246753246753247,0.0,0.0,0.7591314935064934,0.0956099799139479,0.05021476000547409,0.046087348787688914,-0.09891975308641975,-0.002857142857142898,0.0,100.0,,0.003436426116838488,589,3,0.07979626485568761,0.0,0.07011070110701106,0.0,0.0,0.6131742168485514,0.09322384418459335,0.10104932636022568,0.11149734954376578,-0.16281833616298813,-0.037623762376237595,0.0,100.0,,0.07465618860510806,0.0,0.15487290487290487,-0.2759498006473812,0.0,0.0,0.1129869744181633,0.1453829830866884,-0.14202364313999538,-0.0532034632034631,0.0,0.0,,0.16628834452536337,0.0,0.13653622175634755,0.0,0.0,45.237735849056605,0.0,0.0,0.13653622175634755,0.0,0.0,,0.16628834452536337,0.4831816928591122,0.12999252398943922,0,0.3,,2391,589,68,18,0.054788791300711,0.07979626485568761
D2A,liu_rnn,none,265,2,0.1169811320754717,0.03225806451612903,0.405982905982906,0.010416666666666666,0.015748031496062992,0.3013509787703336,0.08248173031386956,0.3735905526234349,0.40959984971889085,-0.24056603773584906,-0.0867003367003367,50.0,50.0,0.0,0.43577981651376146,324,1,0.04938271604938271,0.0,0.14935064935064934,0.0,0.0,0.7203733766233766,0.08499716517323364,0.17330955451832133,0.1791976702613878,-0.10586419753086419,-0.13142857142857137,0.0,100.0,,0.15807560137457044,589,3,0.07979626485568761,0.02127659574468085,0.26014760147601473,0.007042253521126761,0.010582010582010581,0.4386040668917327,0.0672656407133865,0.2634190018831008,0.2828590922583968,-0.1664685908319185,-0.1022002200220022,33.33333333333333,66.66666666666666,0.0,0.2770137524557957,0.03225806451612903,0.25663225663225664,-0.419022397853043,0.010416666666666666,0.015748031496062992,0.20028099810511354,0.23040217945750305,-0.13470184020498488,0.04472823472823467,50.0,-50.0,,0.277704215139191,0.010416666666666666,0.2202888423014209,0.03225806451612903,0.010416666666666666,2.5515996718621823,0.03225806451612903,0.03225806451612903,0.2202888423014209,0.03225806451612903,-50.0,,0.277704215139191,0.3013509787703336,0.13725308812139908,0,0.3,,2391,589,68,18,0.054788791300711,0.07979626485568761
D0,liu_glm,reweighting,265,2,0.1169811320754717,1.0,0.6239316239316239,0.1751412429378531,0.2980769230769231,0.626275158533223,0.14292788262827655,0.33891806395953894,0.4206124637283758,0.08943396226415094,0.7787878787878788,100.0,0.0,0.0,0.6009174311926605,324,1,0.04938271604938271,1.0,0.672077922077922,0.07174887892376682,0.13389121338912133,0.8565340909090909,0.15173467674898025,0.2155915155061468,0.3738843369096204,0.017438271604938268,0.4085714285714286,100.0,0.0,0.0,0.6804123711340206,589,3,0.07979626485568761,1.0,0.6512915129151291,0.1175,0.21029082774049218,0.7430713668838815,0.13497894238548713,0.2710779931634455,0.3925192712803211,0.049830220713073005,0.6504950495049505,100.0,0.0,0.0,0.6463654223968566,0.0,-0.04814629814629812,-0.23025893237586792,0.10339236401408629,0.16418570968780175,0.12332654845339214,0.04672812681875538,0.07199569065921267,0.3702164502164502,0.0,0.0,0.0,-0.07949493994136014,0.10339236401408629,-0.020347076636384798,0.0,0.10339236401408629,0.9704374312547593,0.0,0.0,0.020347076636384798,0.0,0.0,0.0,-0.07949493994136014,0.626275158533223,0.11679620835065851,0,0.3,,2391,589,68,18,0.054788791300711,0.07979626485568761
